Actual,Probability
0,5.2585101821285004e-05
0,6.261722907040923e-05
0,0.012282860325873278
0,3.7723739067102885e-05
0,0.0007209282627521993
0,5.043820796667575e-05
0,5.9470542585964424e-05
0,4.428790413730675e-05
0,7.190991430037452e-05
0,3.499078758902861e-05
0,0.0008469842574279694
0,0.00030667057244639263
0,3.460692544807761e-05
0,3.801745560174149e-05
0,3.7262839903226114e-05
0,3.9085748402477024e-05
0,4.2586968737067244e-05
0,7.218099978589603e-05
0,4.9691746931859383e-05
0,0.00040529391218496573
0,5.991786738486077e-05
0,7.638804774542795e-05
0,4.128860612051526e-05
0,4.6706167037765716e-05
0,5.611604662024418e-05
0,5.206565258823857e-05
0,3.970511973653281e-05
0,7.119498162095445e-05
0,5.992193829102742e-05
0,7.882375606842036e-05
0,0.000289400690397389
0,6.732609126278757e-05
0,5.811127802748157e-05
0,8.188440475444302e-05
0,5.3443713905121064e-05
0,5.664715966748281e-05
0,0.00025676957676652593
0,0.00018492094199043133
0,5.307735477386969e-05
0,6.751925190758007e-05
0,4.109075120927721e-05
0,5.603933219059058e-05
0,3.694813612693305e-05
0,0.0001347843853054185
0,0.0005189716835768449
0,0.00011990555049790514
0,0.00010155029790085369
0,0.00022996236160836576
0,0.003585553462894067
0,0.0003921127139555527
0,8.271339074125e-05
0,4.132553093894328e-05
0,3.681708603489049e-05
0,9.276306404246479e-05
0,4.01871644017908e-05
0,9.995040977596546e-05
0,0.0001459624878910524
0,5.097309147041415e-05
0,0.00024920216205044697
0,0.0001172751098226873
0,3.7221860531486104e-05
0,3.4945667347137984e-05
0,3.4950497360875604e-05
0,0.00015497035180394247
0,0.04562746203033931
0,0.00011857735513747699
0,0.00010677620843471927
0,7.206720143352513e-05
0,3.879293631140327e-05
0,4.975627554087727e-05
0,4.2837991937408694e-05
0,3.679292522066713e-05
0,0.00021001167205929208
0,0.00023781658539538404
0,7.664224041019398e-05
0,4.0666878331173655e-05
0,5.249457913061285e-05
0,3.843431239818751e-05
0,4.617703295941948e-05
0,0.0005508856617507448
0,6.239180099333483e-05
0,5.037586736295276e-05
0,0.0002515765163751669
0,0.0002737539702448163
0,4.4560890631276845e-05
0,0.0001200606295945435
0,9.144536572147364e-05
0,3.881574231497709e-05
0,0.00010207543582733326
0,5.519136491973159e-05
0,4.378279362626128e-05
0,9.982979193284871e-05
0,5.4817264228526395e-05
0,5.741030697661942e-05
0,4.220753301392187e-05
0,5.2580742874648374e-05
0,6.503883037341213e-05
0,0.0001317177214592783
0,3.8559114368371085e-05
0,0.0004132245280000267
0,5.964660127254372e-05
0,4.08756510127848e-05
0,0.00016707534583046115
0,6.512208593789893e-05
0,0.000354123378181889
0,5.4832486319005634e-05
0,3.877203038077438e-05
0,5.9168088536171084e-05
0,5.532590325306066e-05
0,0.00034398226199109337
0,4.8975260779841465e-05
0,5.400211158919843e-05
0,4.361237101469733e-05
0,4.875022196111893e-05
0,7.315244492244709e-05
0,6.803734288366162e-05
0,0.00014923953760870678
0,4.026469763467536e-05
0,6.170412317157346e-05
0,8.757656928337812e-05
0,6.0169728303122745e-05
0,5.454536490687478e-05
0,5.628498720271344e-05
0,3.982793570010761e-05
0,6.781270153757543e-05
0,6.597840079827026e-05
0,6.381462955732616e-05
0,5.1416207879540096e-05
0,6.914153204498189e-05
0,8.635296163024566e-05
0,4.5785656407791575e-05
0,0.00022334961708784845
0,4.8822960873837265e-05
0,7.277821110876265e-05
0,6.662544621801167e-05
0,6.145563313890163e-05
0,6.933026422527145e-05
0,3.986092798302733e-05
0,4.264660154148334e-05
0,5.826494712010083e-05
0,7.377810122752662e-05
0,6.140836077910411e-05
0,3.7619733777845153e-05
0,5.3355447437853546e-05
0,0.00023066327166251514
0,4.8624900437885245e-05
0,6.340617629735341e-05
0,4.7656750461300354e-05
0,4.48179681933558e-05
0,8.606202613211865e-05
0,0.003770389279834502
0,4.470113658667216e-05
0,3.962295218788998e-05
0,4.2761983077074714e-05
0,4.122667033279245e-05
0,0.005651180001558355
0,8.276015973110672e-05
0,4.644076408133267e-05
0,0.00015790013045248152
0,5.340441912971047e-05
0,9.660606920286573e-05
0,6.954906748139984e-05
0,0.00024248027570534378
0,6.373613477063362e-05
0,5.606337620561667e-05
0,0.5224183528251095
0,4.079866972318038e-05
0,4.296708909897016e-05
0,0.0002715080438526336
